Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,SEO Title,SEO Description,Status
parquet-flooring,,,,,,,,,,,,,,,,,,,,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/u/l/ultrafelt_battle_oak_parquet_cushioned_vinyl_swatch.jpg,18,Parquet Flooring,,,
parquet-flooring,,,,,,,,,,,,,,,,,,,,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/u/l/ultrafelt_natural_oak_parquet_cushioned_vinyl_hallway.jpg,19,Parquet Flooring,,,
parquet-flooring,,,,,,,,,,,,,,,,,,,,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/u/l/ultrafelt_natural_oak_parquet_cushioned_vinyl_swatch.jpg,20,Parquet Flooring,,,
parquet-flooring,,,,,,,,,,,,,,,,,,,,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/u/l/ultrafelt-aged-parquet-oak-cushioned-vinyl-xl-lifestyle-3.jpg,21,Parquet Flooring,,,
parquet-flooring,,,,,,,,,,,,,,,,,,,,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/u/l/ultrafelt-aged-parquet-oak-cushioned-vinyl-xl-lifestyle-2.jpg,22,Parquet Flooring,,,
parquet-flooring,,,,,,,,,,,,,,,,,,,,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/p/r/prestige-herringbone-iris-oak-8mm-laminate-3773-xl-s1_1.jpg,23,Parquet Flooring,,,
parquet-flooring,,,,,,,,,,,,,,,,,,,,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/p/r/prestige-herringbone-iris-oak-8mm-laminate-3773-xl-swatch-2.jpg,24,Parquet Flooring,,,
parquet-flooring,,,,,,,,,,,,,,,,,,,,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/p/r/prestige-herringbone-charcoal-8mm-laminate-6010-xl-lifestyle-1.jpg,25,Parquet Flooring,,,
parquet-flooring,,,,,,,,,,,,,,,,,,,,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/p/r/prestige-herringbone-charcoal-8mm-laminate-6010-xl-lifestyle-2.jpg,26,Parquet Flooring,,,
parquet-flooring,,,,,,,,,,,,,,,,,,,,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/e/m/embrace-herringbone-10mm-tricat-oak-6018-xl-lifestyle-1_1.jpg,27,Parquet Flooring,,,
parquet-flooring,,,,,,,,,,,,,,,,,,,,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/e/m/embrace-herringbone-10mm-tricat-oak-6018-xl-lifestyle-2_1.jpg,28,Parquet Flooring,,,
parquet-flooring,,,,,,,,,,,,,,,,,,,,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/h/e/herringbone-parquet-lacquered-dalgona-oak-10mm-engineered-lifestyle-1_1.jpg,29,Parquet Flooring,,,
parquet-flooring,,,,,,,,,,,,,,,,,,,,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/h/e/herringbone-parquet-lacquered-dalgona-oak-10mm-engineered-lifestyle-2.jpg,30,Parquet Flooring,,,
parquet-flooring,,,,,,,,,,,,,,,,,,,,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/h/e/herringbone-parquet-lacquered-autumn-oak-10mm-engineered-lifestyle-1_1.jpg,31,Parquet Flooring,,,
parquet-flooring,,,,,,,,,,,,,,,,,,,,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/h/e/herringbone-parquet-lacquered-autumn-oak-10mm-engineered-lifestyle-2.jpg,32,Parquet Flooring,,,
parquet-flooring,,,,,,,,,,,,,,,,,,,,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/h/e/herringbone_parquet_14mm_nude_oak_engineered_10.jpg,33,Parquet Flooring,,,
parquet-flooring,,,,,,,,,,,,,,,,,,,,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/h/e/herringbone_parquet_14mm_nude_oak_engineered_13.jpg,34,Parquet Flooring,,,
parquet-flooring,,,,,,,,,,,,,,,,,,,,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/h/e/herringbone_parquet_brushed_matt_lacquer_14mm_harvest_oak_engineered_50.jpg,35,Parquet Flooring,,,
parquet-flooring,,,,,,,,,,,,,,,,,,,,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/h/e/herringbone_parquet_brushed_matt_lacquer_14mm_harvest_oak_engineered_53.jpg,36,Parquet Flooring,,,
parquet-flooring,,,,,,,,,,,,,,,,,,,,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/7/3/73662stoutland11cropped.jpg,37,Parquet Flooring,,,
parquet-flooring,,,,,,,,,,,,,,,,,,,,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/6/3/63662stoutlandcropped.jpg,38,Parquet Flooring,,,
parquet-flooring,,,,,,,,,,,,,,,,,,,,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/e/m/embrace-herringbone-windsor-oak-10mm-laminate-1001-xl-lifestyle-1.jpg,39,Parquet Flooring,,,
parquet-flooring,,,,,,,,,,,,,,,,,,,,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/e/m/embrace-herringbone-windsor-oak-10mm-laminate-1001-xl-lifestyle-3.jpg,40,Parquet Flooring,,,
luxury-vinyl-tiles,LVT Flooring,"<p>Browse our range of LVT flooring featuring oak, slate, and concrete flooring designs that look just like the real thing. Free samples available.</p>",Factory Direct Flooring,Home & Garden > Decor > Flooring,Solid Wood Flooring,solid-wood-flooring,TRUE,Title,Default Title,not,0,shopify,100,deny,manual,30.00,,TRUE,TRUE,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/a/q/aqua_plank_natural_oak_click_vinyl_flooring_10.jpg,1,LVT Flooring,LVT Flooring,"Browse our range of LVT flooring featuring oak, slate, and concrete flooring designs that look just like the real thing. Free samples available.",active
luxury-vinyl-tiles,,,,,,,,,,,,,,,,,,,,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/a/q/aqua_plank_natural_oak_click_vinyl_flooring_11.jpg,2,LVT Flooring,,,
luxury-vinyl-tiles,,,,,,,,,,,,,,,,,,,,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/a/q/aqua_plank_pendosa_oak_herringbone_click_vinyl_10.jpg,3,LVT Flooring,,,
luxury-vinyl-tiles,,,,,,,,,,,,,,,,,,,,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/a/q/aqua_plank_pendosa_oak_herringbone_click_vinyl_13.jpg,4,LVT Flooring,,,
luxury-vinyl-tiles,,,,,,,,,,,,,,,,,,,,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/a/p/ap74159h_16_2.jpg,5,LVT Flooring,,,
luxury-vinyl-tiles,,,,,,,,,,,,,,,,,,,,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/a/p/ap74159h_10_2.jpg,6,LVT Flooring,,,
luxury-vinyl-tiles,,,,,,,,,,,,,,,,,,,,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/a/p/ap73997_1.jpg,7,LVT Flooring,,,
luxury-vinyl-tiles,,,,,,,,,,,,,,,,,,,,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/a/q/aqua_plank_stove_oak_click_vinyl_flooring_21.jpg,8,LVT Flooring,,,
luxury-vinyl-tiles,,,,,,,,,,,,,,,,,,,,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/a/q/aqua_plank_ravine_grey_herringbone_click_vinyl_flooring_3.jpg,9,LVT Flooring,,,
luxury-vinyl-tiles,,,,,,,,,,,,,,,,,,,,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/a/q/aqua_plank_ravine_grey_herringbone_click_vinyl_flooring_2.jpg,10,LVT Flooring,,,
luxury-vinyl-tiles,,,,,,,,,,,,,,,,,,,,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/a/q/aqua_plank_colorado_oak_click_vinyl_flooring_10.jpg,11,LVT Flooring,,,
luxury-vinyl-tiles,,,,,,,,,,,,,,,,,,,,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/a/q/aqua_plank_colorado_oak_click_vinyl_flooring_21.jpg,12,LVT Flooring,,,
luxury-vinyl-tiles,,,,,,,,,,,,,,,,,,,,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/a/p/ap73982h_11.jpg,13,LVT Flooring,,,
luxury-vinyl-tiles,,,,,,,,,,,,,,,,,,,,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/a/p/ap73982h_16.jpg,14,LVT Flooring,,,
luxury-vinyl-tiles,,,,,,,,,,,,,,,,,,,,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/e/n/engrave_oak_diverse_luxury_vinyl_plank_7004_1.jpg,15,LVT Flooring,,,
luxury-vinyl-tiles,,,,,,,,,,,,,,,,,,,,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/e/n/engrave_oak_diverse_luxury_vinyl_plank_7004_2.jpg,16,LVT Flooring,,,
luxury-vinyl-tiles,,,,,,,,,,,,,,,,,,,,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/7/3/73662stoutland11cropped.jpg,17,LVT Flooring,,,
luxury-vinyl-tiles,,,,,,,,,,,,,,,,,,,,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/6/3/63662stoutlandcropped.jpg,18,LVT Flooring,,,
luxury-vinyl-tiles,,,,,,,,,,,,,,,,,,,,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/a/p/ap73998_15.jpg,19,LVT Flooring,,,
luxury-vinyl-tiles,,,,,,,,,,,,,,,,,,,,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/a/p/ap73998_7.jpg,20,LVT Flooring,,,
luxury-vinyl-tiles,,,,,,,,,,,,,,,,,,,,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/a/p/ap74006h_11.jpg,21,LVT Flooring,,,
luxury-vinyl-tiles,,,,,,,,,,,,,,,,,,,,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/a/p/ap74006h_13.jpg,22,LVT Flooring,,,
luxury-vinyl-tiles,,,,,,,,,,,,,,,,,,,,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/a/p/ap74000n_15.jpg,23,LVT Flooring,,,
luxury-vinyl-tiles,,,,,,,,,,,,,,,,,,,,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/a/q/aqua_plank_metal_oak_click_vinyl_flooring_21.jpg,24,LVT Flooring,,,
luxury-vinyl-tiles,,,,,,,,,,,,,,,,,,,,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/c/h/chic_parquet_dry_back_herringbone_harbour_12_1.jpg,25,LVT Flooring,,,
luxury-vinyl-tiles,,,,,,,,,,,,,,,,,,,,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/c/h/chic_parquet_dry_back_herringbone_harbour_7_2.jpg,26,LVT Flooring,,,
luxury-vinyl-tiles,,,,,,,,,,,,,,,,,,,,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/e/n/engrave_driftwood_luxury_vinyl_plank_7006_6_1.jpg,27,LVT Flooring,,,
luxury-vinyl-tiles,,,,,,,,,,,,,,,,,,,,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/e/n/engrave_driftwood_luxury_vinyl_plank_7006_5_1.jpg,28,LVT Flooring,,,
luxury-vinyl-tiles,,,,,,,,,,,,,,,,,,,,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/u/l/ul74104-9.jpg,29,LVT Flooring,,,
luxury-vinyl-tiles,,,,,,,,,,,,,,,,,,,,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/u/l/ul74104-4.jpg,30,LVT Flooring,,,
luxury-vinyl-tiles,,,,,,,,,,,,,,,,,,,,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/u/l/ul74105-12.jpg,31,LVT Flooring,,,
luxury-vinyl-tiles,,,,,,,,,,,,,,,,,,,,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/u/l/ul74105-6.jpg,32,LVT Flooring,,,
luxury-vinyl-tiles,,,,,,,,,,,,,,,,,,,,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/u/l/ul74106-15.jpg,33,LVT Flooring,,,
luxury-vinyl-tiles,,,,,,,,,,,,,,,,,,,,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/u/l/ul74106-13.jpg,34,LVT Flooring,,,
luxury-vinyl-tiles,,,,,,,,,,,,,,,,,,,,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/u/l/ul74107-10.jpg,35,LVT Flooring,,,
luxury-vinyl-tiles,,,,,,,,,,,,,,,,,,,,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/u/l/ul74107-8.jpg,36,LVT Flooring,,,
luxury-vinyl-tiles,,,,,,,,,,,,,,,,,,,,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/u/l/ul74108-10.jpg,37,LVT Flooring,,,
luxury-vinyl-tiles,,,,,,,,,,,,,,,,,,,,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/u/l/ul74108-14.jpg,38,LVT Flooring,,,
luxury-vinyl-tiles,,,,,,,,,,,,,,,,,,,,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/u/l/ul74109-12.jpg,39,LVT Flooring,,,
luxury-vinyl-tiles,,,,,,,,,,,,,,,,,,,,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/u/l/ul74109-6.jpg,40,LVT Flooring,,,
accessories,Flooring Accessories,"<p>Find all the flooring accessories you need here at Factory Direct Flooring, from laminate flooring accessories to solid wood, and everything in between.</p>",Factory Direct Flooring,Home & Garden > Decor > Flooring,Solid Wood Flooring,solid-wood-flooring,TRUE,Title,Default Title,not,0,shopify,100,deny,manual,30.00,,TRUE,TRUE,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/p/r/pro_gold_underlay_vapour_barrier_1_2.jpg,1,Flooring Accessories,Flooring Accessories,"Find all the flooring accessories you need here at Factory Direct Flooring, from laminate flooring accessories to solid wood, and everything in between.",active
accessories,,,,,,,,,,,,,,,,,,,,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/s/i/silicone-sealant-clear-white-cartridge-lifestyle-1.jpg,2,Flooring Accessories,,,
accessories,,,,,,,,,,,,,,,,,,,,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/p/r/prolay-lvt-acoustic-underlay-cwa13-main-image.jpg,3,Flooring Accessories,,,
accessories,,,,,,,,,,,,,,,,,,,,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/p/r/premium_sound_reduction_underlay_2.jpg,4,Flooring Accessories,,,
accessories,,,,,,,,,,,,,,,,,,,,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/p/o/polishing-cloth-500mm-x-550mm-ewa36-xl-lifestyle-1.jpg,5,Flooring Accessories,,,
accessories,,,,,,,,,,,,,,,,,,,,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/m/a/maintenance-gel-oil-200ml-ewa35-xl-lifestyle-1.jpg,6,Flooring Accessories,,,
accessories,,,,,,,,,,,,,,,,,,,,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/h/i/high-temperature-vinyl-adhesive-xl-lifestyle-1.jpg,7,Flooring Accessories,,,
accessories,,,,,,,,,,,,,,,,,,,,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/w/o/wood-flooring-adhesive.jpg,8,Flooring Accessories,,,
accessories,,,,,,,,,,,,,,,,,,,,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/w/a/waterproof-self-adhesive-12mm-beading-lifestyle-1.jpg,9,Flooring Accessories,,,
accessories,,,,,,,,,,,,,,,,,,,,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/f/e/felt-pad-protectors-xl-lifestyle-1.jpg,10,Flooring Accessories,,,
accessories,,,,,,,,,,,,,,,,,,,,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/b/u/budget_underlay.jpg,11,Flooring Accessories,,,
